Question,Option1,Option2,Option3,Option4,Answer,Time in Second
Who invented java?,Bill gates,James Gosline,Steve jobs,Tom cook,James Gosline,30
Which concept of Java is achieved by combining methods and attribute into a class?,Encapsulation,Inheritance,Polymorphism,Abstraction,Polymorphism,15
What is it called if an object has its own lifecycle and there is no owner?,Aggregation,Composition, Encapsulation,Association,Association,20
Which of these packages contain classes and interfaces used for input & output operations of a program?,java.util,java.lang,java.io,All of the mentioned,java.io,36
Which of these class is not a member class of java.io package?, String,StringReader,Writer, File, String,15
 Which of these interface is not a member of java.io package?,DataInput,ObjectInput,FileFilter,ObjectFilter,ObjectInput,35
Which of these is specified by a File object?,a file in disk,directory path,directory in disk,None of the mentioned,directory in disk,35
Which of these is method for testing whether the specified element is a file or a directory?, IsFile(), isFile(),isfile(),Isfile(),isFile(),45
"Given a class named student, which of the following is a valid constructor declaration for the class?",Student (student s) { } ,Student student ( ) { },Private final student ( ) { }, Void student ( ) { },Student (student s) { } ,25
" In Java, declaring a class abstract is useful",To prevent developers from further extending the class,When it doesn’t make sense to have objects of that class,When default implementations of some methods are not desirable,To force developers to extend the class not to use its capabilities,When it doesn’t make sense to have objects of that class,24
Basic Java language functions are stored in which of the following java package?,java.lang ,ava.io,java.net, java.util ,java.lang,35
Which of the following is a member of the java.lang package?, List,Queue , Math,Stack ,Queue,28
What is the fundamental unit of information of writer streams?, Characters ,Bytes,Files ,Records,Characters,27
File class is included in which package?,java.io package ,java.lang package, java.awt package, java.net.package, java.io package ,65
What will be the output of the following Java program?, 2,3,7,Compilation Error,7,36
What will be the output of the following Java code?,Object,class Object,class java.lang.Object,Compilation Error, class java.lang.Object,25
